Sample,Hamming_loss,Exact_match,Accuracy,
1,0.187852152355195,0.0,0.3049996566223033,
2,0.20498084291187735,0.0,0.2898535956339667,
3,0.20114942528735635,0.0,0.2865803545476036,
4,0.19735632183908047,0.0,0.2953465521593372,
5,0.18724137931034485,0.0,0.29185258924713753,
6,0.20448275862068965,0.0,0.2812699198862166,
7,0.19919540229885052,0.0,0.286806342870177,
8,0.19471264367816093,0.0,0.2908416344028773,
9,0.19735632183908045,0.0,0.29368113419489134,
10,0.1651724137931034,0.0,0.29801338403817834,
Average,0.17631815108488536,0.0,0.2653859239638808,
varience,3.9589999973781625E-4,0.0,6.763219283992417E-4,
standard deviation,0.01989723598236238,0.0,0.026006190193860416,
