Sample,Hamming_loss,Exact_match,Accuracy,
1,0.20689655172413796,0.0,0.23951582578026737,
2,0.1810344827586207,0.0,0.2765619543596588,
3,0.19846743295019162,0.0,0.2528259099981043,
4,0.1875,0.0,0.27444003207491435,
5,0.1793103448275862,0.0,0.2747627981774323,
6,0.20402298850574713,0.0,0.19375,
7,0.19348659003831417,0.0,0.27491187227534863,
8,0.194683908045977,0.0,0.26047683770031305,
9,0.19683908045977014,0.0,0.21676420135029806,
10,0.19827586206896552,0.0,0.2166330486167957,
11,0.18965517241379312,0.0,0.25297619047619047,
12,0.16091954022988506,0.0,0.3,
13,0.2149425287356322,0.0,0.2654044469462426,
14,0.2385057471264368,0.0,0.2043478260869565,
15,0.2105538140020899,0.0,0.20393718637295902,
16,0.19938107869142352,0.0,0.22085714481254243,
17,0.1872605363984674,0.0,0.2643820941834679,
18,0.1992337164750958,0.0,0.23652389931459697,
19,0.22796934865900384,0.0,0.20840639002532632,
20,0.16666666666666666,0.0,0.275,
21,0.19540229885057472,0.0,0.25297619047619047,
22,0.20114942528735633,0.0,0.22134387351778656,
23,0.18390804597701152,0.0,0.24918237299869625,
24,0.2298850574712644,0.0,0.22684891259443676,
25,0.19576149425287354,0.0,0.22827406995307167,
26,0.20689655172413793,0.0,0.2046747909088494,
27,0.16379310344827586,0.0,0.3214285714285714,
28,0.1620689655172414,0.0,0.3196087366436204,
29,0.1743295019157088,0.0,0.25006889242183356,
30,0.19899425287356323,0.0,0.26475484182386655,
31,0.1810344827586207,0.0,0.2613705575138008,
32,0.20283975659229214,0.0,0.26287457765540856,
33,0.19761273209549074,0.0,0.2390304455368482,
34,0.11494252873563218,0.0,0.4594594594594595,
35,0.22413793103448276,0.0,0.13333333333333333,
36,0.20210727969348663,0.0,0.22038972182041536,
37,0.20480668756530826,0.0,0.24294677731664904,
38,0.19230769230769226,0.0,0.2725564850964275,
39,0.19129720853858784,0.0,0.29930527488883524,
40,0.18275862068965518,0.0,0.2650172190114334,
41,0.22988505747126436,0.0,0.1796008869179601,
42,0.1781609195402299,0.0,0.2873720631101889,
43,0.17840038314176243,0.0,0.2932185031702388,
44,0.20581896551724133,0.0,0.2215822893490896,
45,0.20114942528735633,0.0,0.18604651162790697,
46,0.1724137931034483,0.0,0.2857142857142857,
47,0.21120689655172414,0.0,0.23428915610209058,
48,0.20833333333333337,0.0,0.18093760675001708,
49,0.19655172413793104,0.0,0.24355174787445816,
50,0.1839080459770115,0.0,0.27180479165236243,
51,0.16748768472906403,0.0,0.23430330153338158,
52,0.20114942528735633,0.0,0.18875166616629396,
53,0.21264367816091956,0.0,0.26703430940719075,
54,0.16475095785440613,0.0,0.3242067935796939,
55,0.19971264367816094,0.0,0.21033543160226148,
56,0.2037617554858934,0.0,0.22995218409525398,
57,0.19540229885057475,0.0,0.23208791763362774,
58,0.210727969348659,0.0,0.22810703228659887,
59,0.18025078369905956,0.0,0.2822124415850826,
60,0.15977011494252874,0.0,0.33390812146230103,
61,0.23946360153256707,0.0,0.14784282133906193,
62,0.19412515964240104,0.0,0.2293599572326087,
63,0.16797283176593522,0.0,0.2898570168545309,
64,0.19987228607918262,0.0,0.22865494045149365,
65,0.20361247947454844,0.0,0.24209100592079316,
Average,0.1910328973136306,0.0,0.24485978100560185,
varience,4.310736659485335E-4,0.0,0.00225886248178568,
standard deviation,0.020762313598164668,0.0,0.047527491852460295,
