Sample,Hamming_loss,Exact_match,Accuracy,
1,0.2582781456953642,0.0,0.19579081632653061,
2,0.292,0.0,0.2092092092092092,
3,0.32941176470588235,0.0,0.2222222222222222,
4,0.2342436974789916,0.0,0.24172460212194932,
5,0.2550813008130081,0.0,0.2825876059084455,
6,0.23379629629629628,0.0,0.21844195586947443,
7,0.21458333333333332,0.0,0.23995310245310245,
8,0.199447895100069,0.0,0.26243445553295525,
9,0.22424242424242424,0.0,0.22471699756182517,
10,0.24285714285714285,0.0,0.2437285235051453,
11,0.2619047619047619,0.0,0.271283527913175,
12,0.22032520325203248,0.0,0.29583327628333844,
13,0.1697936210131332,0.0,0.2859509762457852,
14,0.1992110453648915,0.0,0.2367305896717661,
15,0.1829268292682927,0.0,0.3291005291005291,
16,0.3076923076923077,0.0,0.32713606841513815,
17,0.21502057613168724,0.0,0.25635809429826845,
18,0.21493212669683256,0.0,0.29977329281138004,
19,0.271875,0.0,0.26204065412067723,
20,0.2123287671232877,0.0,0.26789132184293474,
21,0.20503597122302158,0.0,0.28294573643410853,
22,0.20246913580246914,0.0,0.3299006549006549,
23,0.34687500000000004,0.0,0.32344888383750076,
24,0.2,0.0,0.28728383097153865,
25,0.24236641221374045,0.0,0.2500691718551423,
26,0.22485207100591717,0.0,0.2547619083455985,
27,0.22621423819028616,0.0,0.25212257731006615,
28,0.19387755102040816,0.0,0.2875,
29,0.14634146341463417,0.0,0.36352657004830913,
30,0.3904109589041096,0.0,0.2869418488037319,
31,0.2215320910973085,0.0,0.26576286549042893,
32,0.21641791044776118,0.0,0.2644377278342101,
33,0.22767857142857142,0.0,0.2653217428916493,
34,0.19610778443113774,0.0,0.26030191342445475,
35,0.16428571428571428,0.0,0.43902439024390244,
36,0.19760479041916168,0.0,0.2978723404255319,
37,0.22065727699530516,0.0,0.31072926025756215,
38,0.19702380952380955,0.0,0.3065175768208138,
39,0.2857142857142857,0.0,0.22117963610026206,
40,0.24836601307189543,0.0,0.2520614170225621,
41,0.25990675990675993,0.0,0.1780403238736572,
42,0.2356687898089172,0.0,0.20951690153817815,
43,0.18327067669172933,0.0,0.331928462097635,
44,0.2048832271762208,0.0,0.2592404152533662,
45,0.20694789081885856,0.0,0.26627115436265375,
46,0.18786127167630057,0.0,0.2537321254176916,
47,0.3006535947712418,0.0,0.11538461538461539,
48,0.27777777777777773,0.0,0.23517477510610252,
49,0.3407494145199063,0.0,0.2267159537699655,
50,0.1957831325301205,0.0,0.23187245922873104,
51,0.2260305697081983,0.0,0.2456429977632761,
52,0.2636986301369863,0.0,0.156185949989752,
53,0.19339622641509435,0.0,0.2309301148975062,
54,0.2552447552447552,0.0,0.22900579150579153,
55,0.2484076433121019,0.0,0.22,
56,0.20833333333333334,0.0,0.32958098811757347,
57,0.18209876543209874,0.0,0.30111904410887164,
58,0.25595238095238093,0.0,0.25104345262020944,
59,0.21243885394828788,0.0,0.27191857761092236,
60,0.22395833333333334,0.0,0.28118711582455164,
61,0.09929078014184398,0.0,0.5333333333333333,
62,0.19047619047619047,0.0,0.2996474735605171,
63,0.22993827160493824,0.0,0.2252523086372686,
64,0.2158924919661116,0.0,0.2483789586216752,
65,0.20996732026143788,0.0,0.27206354014149703,
66,0.18120805369127516,0.0,0.33466220462188206,
67,0.24166666666666667,0.0,0.40816326530612246,
Average,0.22537183956561985,0.0,0.26647956142831203,
varience,0.0022205706403687527,0.0,0.0036353493372231075,
standard deviation,0.04712293115213391,0.0,0.06029385820482139,
