Sample,Hamming_loss,Exact_match,Accuracy,
1,0.2848101265822785,0.0,0.13651315789473684,
2,0.20276008492569,0.0,0.21519596369671332,
3,0.21713759213759215,0.0,0.23237718165088908,
4,0.2144308943089431,0.0,0.21816610230727587,
5,0.20481927710843373,0.0,0.19682359614293818,
6,0.2536231884057971,0.0,0.2857142857142857,
7,0.1851851851851852,0.0,0.23004674133521474,
8,0.24285714285714285,0.0,0.23421802054154994,
9,0.23508522727272727,0.0,0.18865416800261584,
10,0.22345890410958902,0.0,0.21583320693324562,
11,0.19437500000000002,0.0,0.22296718836644427,
12,0.33614627285513365,0.0,0.23753790846421005,
13,0.2654639175257732,0.0,0.25393698259551917,
14,0.12727272727272726,0.0,0.2222222222222222,
15,0.19140625,0.0,0.21668026034795881,
16,0.21158008658008656,0.0,0.22168149127503942,
17,0.17664670658682635,0.0,0.22570009067321326,
18,0.20833333333333334,0.0,0.20642753233491404,
19,0.1851851851851852,0.0,0.26881998277347113,
20,0.2578125,0.0,0.19464285714285712,
21,0.17751479289940827,0.0,0.2485226452773653,
22,0.1968157181571816,0.0,0.19660820328155992,
23,0.1831925300133393,0.0,0.22663195787043655,
24,0.13836477987421383,0.0,0.2903225806451613,
25,0.24838709677419354,0.0,0.21932053453792583,
26,0.22773722627737225,0.0,0.2305350632389866,
27,0.19605695509309964,0.0,0.2172799502379266,
28,0.2740112994350283,0.0,0.23027901552552427,
29,0.22064393939393942,0.0,0.18579753383940498,
30,0.24614197530864196,0.0,0.1692967122436736,
31,0.21250000000000002,0.0,0.15456989247311828,
32,0.24503311258278146,0.0,0.1590909090909091,
33,0.21139240506329116,0.0,0.15764565902367988,
34,0.2056338028169014,0.0,0.21404556474323916,
35,0.22433192686357245,0.0,0.1504250081286987,
36,0.1939010356731876,0.0,0.2231998773954644,
37,0.19766397124887689,0.0,0.23703026304112115,
38,0.33499999999999996,0.0,0.26552140174851846,
39,0.19444444444444445,0.0,0.24093562996002021,
40,0.17727272727272728,0.0,0.23323910214154117,
41,0.2711864406779661,0.0,0.15789473684210525,
42,0.22222222222222224,0.0,0.2757007007007007,
43,0.24692526017029331,0.0,0.18269132999974283,
44,0.3131067961165048,0.0,0.1828445050910069,
45,0.2548309178743961,0.0,0.19344153258414057,
46,0.2127371273712737,0.0,0.1942029345567603,
47,0.24456521739130432,0.0,0.18853383458646616,
48,0.21913580246913578,0.0,0.13625521765056647,
49,0.20175438596491227,0.0,0.20162604464930045,
50,0.15261044176706826,0.0,0.2352941176470588,
51,0.33854166666666663,0.0,0.18667917448405252,
52,0.25581395348837205,0.0,0.16877523835978772,
53,0.303921568627451,0.0,0.24098320158102762,
54,0.2214814814814815,0.0,0.22652256637776602,
55,0.21541501976284588,0.0,0.2064319427091207,
56,0.24031007751937986,0.0,0.2619047619047619,
57,0.19871794871794873,0.0,0.2563078061413245,
58,0.21241830065359477,0.0,0.1427536231884058,
59,0.20370370370370372,0.0,0.20657021840110248,
60,0.15194805194805197,0.0,0.26844162874842387,
61,0.2698612862547289,0.0,0.1997313619401968,
62,0.23611111111111113,0.0,0.23260355071084238,
63,0.2064935064935065,0.0,0.20752444614209323,
64,0.24818840579710147,0.0,0.20630192781874318,
65,0.2882882882882883,0.0,0.1111111111111111,
66,0.21830985915492956,0.0,0.16216216216216217,
67,0.21164021164021163,0.0,0.16397813150304844,
68,0.1991541714725106,0.0,0.26078769676573643,
69,0.18619934282584885,0.0,0.2113001961593465,
70,0.25223214285714285,0.0,0.2293135435992579,
71,0.3090909090909091,0.0,0.26333333333333336,
72,0.2689655172413793,0.0,0.13768485466598673,
73,0.20222222222222222,0.0,0.2799208165340888,
Average,0.22300719865498797,0.0,0.20883871207444796,
varience,0.0018676342705689173,0.0,0.0015220692558611329,
standard deviation,0.04321613437790239,0.0,0.03901370600008583,
